district_name,district_code,first_language_not_english_number,first_language_not_english_percent,english_language_learner_number,english_language_learner_percent,students_with_disabilities_number,students_with_disabilities_percent,low_income_number,low_income_percent,free_lunch_number,free_lunch_percent,reduced_lunch_number,reduced_lunch_percent,high_needs_number,high_needs_number_2,economically_disadvantaged_number,economically_disadvantaged_percent,year
Springfield Preparatory Charter School (District),35100000,42,25.8,42,25.8,7,4.3,NA,NA,NA,NA,NA,NA,125,76.7,115,70.6,2016-17
Stoneham,02840000,272,11.6,82,3.5,429,17.9,NA,NA,NA,NA,NA,NA,778,32.5,384,16.3,2016-17
Stoughton,02850000,505,14.2,158,4.4,552,15.3,NA,NA,NA,NA,NA,NA,1480,41,950,26.7,2016-17
Sturbridge,02870000,10,1.1,3,0.3,102,11.1,NA,NA,NA,NA,NA,NA,211,23,137,14.9,2016-17
Sturgis Charter Public (District),04890000,18,2.2,0,0,90,11.2,NA,NA,NA,NA,NA,NA,183,22.8,109,13.6,2016-17
Sudbury,02880000,88,3.1,31,1.1,419,14.9,NA,NA,NA,NA,NA,NA,551,19.5,140,5,2016-17
Sunderland,02890000,35,13.6,16,6.2,45,17.5,NA,NA,NA,NA,NA,NA,122,47.5,77,30,2016-17
Sutton,02900000,26,1.8,14,1,253,17.3,NA,NA,NA,NA,NA,NA,345,23.6,119,8.2,2016-17
Swampscott,02910000,225,10.1,90,4,329,14.6,NA,NA,NA,NA,NA,NA,648,28.7,315,14.1,2016-17
Swansea,02920000,26,1.3,11,0.5,233,11.3,NA,NA,NA,NA,NA,NA,581,28.2,421,20.5,2016-17
Tantasqua,07700000,19,1,1,0.1,222,12,NA,NA,NA,NA,NA,NA,491,26.5,327,17.8,2016-17
Taunton,02930000,748,9.3,320,4,1516,18.7,NA,NA,NA,NA,NA,NA,4246,52.3,3390,42.3,2016-17
TEC Connections Academy Commonwealth Virtual School District,39020000,69,6.2,24,2.1,228,20.4,NA,NA,NA,NA,NA,NA,558,49.9,404,36.1,2016-17
Tewksbury,02950000,96,2.7,52,1.5,644,17.8,NA,NA,NA,NA,NA,NA,1040,28.8,500,14.1,2016-17
Tisbury,02960000,107,33.3,80,24.9,45,14,NA,NA,NA,NA,NA,NA,166,51.7,98,30.5,2016-17
Topsfield,02980000,7,1.1,0,0,113,18,NA,NA,NA,NA,NA,NA,141,22.5,44,7,2016-17
Tri-County Regional Vocational Technical,08780000,5,0.5,4,0.4,302,29.5,NA,NA,NA,NA,NA,NA,438,42.8,213,20.8,2016-17
Triton,07730000,64,2.5,14,0.6,381,15,NA,NA,NA,NA,NA,NA,763,30,462,18.4,2016-17
Truro,03000000,0,0,0,0,19,16.1,NA,NA,NA,NA,NA,NA,42,35.6,28,24.1,2016-17
Tyngsborough,03010000,73,4.3,28,1.6,254,14.6,NA,NA,NA,NA,NA,NA,458,26.4,240,14,2016-17
UP Academy Charter School of Boston (District),04800000,222,47,82,17.4,91,19.3,NA,NA,NA,NA,NA,NA,373,79,311,65.9,2016-17
UP Academy Charter School of Dorchester (District),35050000,285,38.3,157,21.1,145,19.5,NA,NA,NA,NA,NA,NA,580,78,470,63.2,2016-17
Up-Island Regional,07740000,28,7.1,21,5.3,81,20.6,NA,NA,NA,NA,NA,NA,157,39.9,82,20.9,2016-17
Upper Cape Cod Regional Vocational Technical,08790000,0,0,0,0,124,17.5,NA,NA,NA,NA,NA,NA,272,38.4,183,25.8,2016-17
Uxbridge,03040000,47,2.6,22,1.2,287,15.4,NA,NA,NA,NA,NA,NA,580,31.2,363,19.8,2016-17
Veritas Preparatory Charter School (District),04980000,76,24.3,37,11.8,51,16.3,NA,NA,NA,NA,NA,NA,235,75.1,209,66.8,2016-17
Wachusett,07750000,296,4.1,127,1.7,1045,14.2,NA,NA,NA,NA,NA,NA,1726,23.5,739,10.1,2016-17
Wakefield,03050000,131,3.7,61,1.7,574,16.1,NA,NA,NA,NA,NA,NA,951,26.6,447,12.6,2016-17
Wales,03060000,0,0,0,0,18,11,NA,NA,NA,NA,NA,NA,57,34.8,47,28.7,2016-17
Walpole,03070000,340,8.8,102,2.6,568,14.5,NA,NA,NA,NA,NA,NA,940,24.1,395,10.2,2016-17
Waltham,03080000,2471,45.2,1054,19.3,985,17.8,NA,NA,NA,NA,NA,NA,2825,51.1,1489,27.3,2016-17
Ware,03090000,27,2.2,16,1.3,206,16.6,NA,NA,NA,NA,NA,NA,664,53.5,578,47.1,2016-17
Wareham,03100000,33,1.3,16,0.7,638,25.5,NA,NA,NA,NA,NA,NA,1513,60.4,1241,50.4,2016-17
Watertown,03140000,824,31.8,260,10,539,20.4,NA,NA,NA,NA,NA,NA,1146,43.3,624,24.1,2016-17
Wayland,03150000,215,8.1,65,2.5,497,18.5,NA,NA,NA,NA,NA,NA,638,23.8,124,4.7,2016-17
Webster,03160000,169,9.1,114,6.1,396,20.9,NA,NA,NA,NA,NA,NA,1154,60.8,932,50.3,2016-17
Wellesley,03170000,318,6.3,105,2.1,764,15.1,NA,NA,NA,NA,NA,NA,1082,21.3,288,5.7,2016-17
Wellfleet,03180000,3,2.7,2,1.8,25,22.1,NA,NA,NA,NA,NA,NA,46,40.7,35,31,2016-17
West Boylston,03220000,38,4.2,25,2.7,143,15.4,NA,NA,NA,NA,NA,NA,276,29.8,164,17.9,2016-17
West Bridgewater,03230000,15,1.2,10,0.8,129,9.9,NA,NA,NA,NA,NA,NA,314,24.1,203,15.8,2016-17
West Springfield,03320000,1195,29.2,411,10,798,19.2,NA,NA,NA,NA,NA,NA,2309,55.7,1795,43.8,2016-17
Westborough,03210000,866,22.8,359,9.4,595,15.5,NA,NA,NA,NA,NA,NA,1184,30.9,304,8,2016-17
Westfield,03250000,471,8.5,245,4.4,1051,18.8,NA,NA,NA,NA,NA,NA,2640,47.2,1977,35.7,2016-17
Westford,03260000,704,13.8,105,2.1,699,13.5,NA,NA,NA,NA,NA,NA,991,19.2,249,4.9,2016-17
Westhampton,03270000,2,1.5,1,0.8,28,21.4,NA,NA,NA,NA,NA,NA,41,31.3,16,12.3,2016-17
Weston,03300000,227,10.5,84,3.9,369,16.9,NA,NA,NA,NA,NA,NA,554,25.4,101,4.7,2016-17
Westport,03310000,36,2.5,15,1,254,17.3,NA,NA,NA,NA,NA,NA,520,35.5,333,23,2016-17
Westwood,03350000,133,4.2,25,0.8,532,16.7,NA,NA,NA,NA,NA,NA,678,21.3,153,4.8,2016-17
Weymouth,03360000,615,9.8,213,3.4,1106,17.3,NA,NA,NA,NA,NA,NA,2556,40.1,1708,27.2,2016-17
Whately,03370000,1,0.8,0,0,21,16.3,NA,NA,NA,NA,NA,NA,46,35.7,31,24,2016-17
Whitman-Hanson,07800000,47,1.2,21,0.5,579,14.3,NA,NA,NA,NA,NA,NA,1179,29.2,753,18.8,2016-17
Whittier Regional Vocational Technical,08850000,45,3.4,8,0.6,333,25.4,NA,NA,NA,NA,NA,NA,624,47.6,381,29.1,2016-17
Williamsburg,03400000,3,1.9,2,1.3,25,15.7,NA,NA,NA,NA,NA,NA,47,29.6,27,17.1,2016-17
Williamstown,03410000,0,0,0,0,57,12.6,NA,NA,NA,NA,NA,NA,117,25.9,80,17.8,2016-17
Wilmington,03420000,79,2.3,26,0.8,646,18.7,NA,NA,NA,NA,NA,NA,900,26,331,9.8,2016-17
Winchendon,03430000,39,3.1,17,1.4,262,20.6,NA,NA,NA,NA,NA,NA,642,50.6,503,40.2,2016-17
Winchester,03440000,693,15,166,3.6,787,16.9,NA,NA,NA,NA,NA,NA,1164,24.9,216,4.7,2016-17
Winthrop,03460000,369,18.7,141,7.2,338,17,NA,NA,NA,NA,NA,NA,855,43,526,26.7,2016-17
Woburn,03470000,776,16.8,255,5.5,748,16,NA,NA,NA,NA,NA,NA,1877,40.1,1153,24.9,2016-17
Worcester,03480000,13641,53.5,8714,34.2,4864,18.8,NA,NA,NA,NA,NA,NA,19792,76.3,14565,57.2,2016-17
Worthington,03490000,0,0,0,0,8,13.3,NA,NA,NA,NA,NA,NA,23,38.3,18,30,2016-17
Wrentham,03500000,24,2.3,13,1.3,155,15,NA,NA,NA,NA,NA,NA,240,23.2,94,9.1,2016-17
State Totals,00000000,191964,20.1,90204,9.5,167530,17.4,NA,NA,NA,NA,NA,NA,436416,45.2,288465,30.2,2016-17
Abby Kelley Foster Charter Public (District),04450000,377,26.4,107,7.5,147,10.3,NA,NA,NA,NA,NA,NA,706,49.5,473,33.2,2015-16
Abington,00010000,104,5.4,48,2.5,259,13.2,NA,NA,NA,NA,NA,NA,629,32.1,380,19.6,2015-16
Academy Of the Pacific Rim Charter Public (District),04120000,68,13,35,6.7,120,22.9,NA,NA,NA,NA,NA,NA,263,50.2,158,30.2,2015-16
Acton-Boxborough,06000000,878,15.6,229,4.1,968,16.9,NA,NA,NA,NA,NA,NA,1419,24.8,304,5.4,2015-16
Acushnet,00030000,11,1.1,6,0.6,174,17.6,NA,NA,NA,NA,NA,NA,325,32.8,192,19.8,2015-16
Adams-Cheshire,06030000,7,0.5,7,0.5,303,22.2,NA,NA,NA,NA,NA,NA,703,51.6,550,40.4,2015-16
Advanced Math and Science Academy Charter (District),04300000,174,17.6,1,0.1,44,4.4,NA,NA,NA,NA,NA,NA,101,10.2,56,5.7,2015-16
Agawam,00050000,295,7.5,173,4.4,651,16.3,NA,NA,NA,NA,NA,NA,1526,38.2,993,25.2,2015-16
Alma del Mar Charter School (District),04090000,50,17.6,26,9.2,41,14.4,NA,NA,NA,NA,NA,NA,196,69,156,54.9,2015-16
Amesbury,00070000,59,2.6,27,1.2,477,20.8,NA,NA,NA,NA,NA,NA,822,35.8,466,20.6,2015-16
Amherst,00080000,303,25.6,196,16.6,215,18.2,NA,NA,NA,NA,NA,NA,565,47.8,332,28.1,2015-16
Amherst-Pelham,06050000,234,17,60,4.4,289,20.8,NA,NA,NA,NA,NA,NA,500,35.9,254,18.5,2015-16
Andover,00090000,699,11.5,186,3.1,1116,18.1,NA,NA,NA,NA,NA,NA,1544,25,382,6.3,2015-16
Argosy Collegiate Charter School (District),35090000,13,6.4,13,6.4,46,22.8,NA,NA,NA,NA,NA,NA,102,50.5,78,38.6,2015-16
Arlington,00100000,606,11.4,219,4.1,755,14,NA,NA,NA,NA,NA,NA,1301,24.1,420,7.9,2015-16
Ashburnham-Westminster,06100000,42,1.8,39,1.7,401,17,NA,NA,NA,NA,NA,NA,675,28.6,328,14,2015-16
Ashland,00140000,474,17.5,125,4.6,399,14.6,NA,NA,NA,NA,NA,NA,737,26.9,323,11.9,2015-16
Assabet Valley Regional Vocational Technical,08010000,138,12.8,26,2.4,330,30.6,NA,NA,NA,NA,NA,NA,521,48.3,238,22.1,2015-16
Athol-Royalston,06150000,33,2.3,24,1.7,396,27.4,NA,NA,NA,NA,NA,NA,821,56.9,609,42.7,2015-16
Atlantis Charter (District),04910000,162,15.8,47,4.6,114,11.1,NA,NA,NA,NA,NA,NA,462,44.9,359,34.9,2015-16
Attleboro,00160000,787,13.3,378,6.4,1012,17,NA,NA,NA,NA,NA,NA,2481,41.7,1541,26,2015-16
Auburn,00170000,143,5.8,67,2.7,247,10,NA,NA,NA,NA,NA,NA,660,26.7,408,16.6,2015-16
Avon,00180000,35,4.8,15,2,127,17.2,NA,NA,NA,NA,NA,NA,275,37.3,179,24.5,2015-16
Ayer Shirley School District,06160000,126,7.4,60,3.5,428,24.7,NA,NA,NA,NA,NA,NA,729,42.1,396,23.4,2015-16
Barnstable,00200000,404,8.2,402,8.2,771,15.5,NA,NA,NA,NA,NA,NA,2199,44.3,1421,28.9,2015-16
Barnstable Community Horace Mann Charter Public (District),04270000,86,29.7,53,18.3,28,9.7,NA,NA,NA,NA,NA,NA,151,52.1,110,37.9,2015-16
Baystate Academy Charter Public School (District),35020000,47,15.5,32,10.6,24,7.9,NA,NA,NA,NA,NA,NA,216,71.3,193,63.7,2015-16
Bedford,00230000,358,14.1,147,5.8,442,16.9,NA,NA,NA,NA,NA,NA,725,27.8,189,7.5,2015-16
Belchertown,00240000,53,2.3,15,0.6,395,16.6,NA,NA,NA,NA,NA,NA,704,29.6,392,16.7,2015-16
Bellingham,00250000,95,4.2,25,1.1,427,18.6,NA,NA,NA,NA,NA,NA,737,32.1,384,16.9,2015-16
Belmont,00260000,882,20.2,257,5.9,444,10,NA,NA,NA,NA,NA,NA,998,22.4,322,7.4,2015-16
Benjamin Banneker Charter Public (District),04200000,60,17.2,15,4.3,40,11.5,NA,NA,NA,NA,NA,NA,204,58.5,173,49.6,2015-16
Benjamin Franklin Classical Charter Public (District),04470000,23,5.2,2,0.4,44,9.9,NA,NA,NA,NA,NA,NA,65,14.6,19,4.3,2015-16
Bentley Academy Charter School (District),35110000,72,28.3,32,12.6,50,19.7,NA,NA,NA,NA,NA,NA,190,74.8,151,59.4,2015-16
Berkley,00270000,1,0.1,1,0.1,139,15.4,NA,NA,NA,NA,NA,NA,243,26.9,129,14.3,2015-16
Berkshire Arts and Technology Charter Public (District),04140000,8,2.3,6,1.7,80,22.7,NA,NA,NA,NA,NA,NA,181,51.3,126,35.7,2015-16
Berkshire Hills,06180000,91,7,29,2.2,240,18.2,NA,NA,NA,NA,NA,NA,507,38.5,315,24.1,2015-16
Berlin,00280000,17,9.2,9,4.9,33,17.7,NA,NA,NA,NA,NA,NA,66,35.5,31,16.8,2015-16
Berlin-Boylston,06200000,23,4.1,7,1.2,94,16.5,NA,NA,NA,NA,NA,NA,138,24.2,43,7.7,2015-16
Beverly,00300000,182,4,142,3.1,943,20.4,NA,NA,NA,NA,NA,NA,1803,39,1064,23.5,2015-16
Billerica,00310000,303,6.1,47,0.9,843,16.7,NA,NA,NA,NA,NA,NA,1440,28.6,707,14.2,2015-16
Blackstone Valley Regional Vocational Technical,08050000,16,1.3,6,0.5,112,9.3,NA,NA,NA,NA,NA,NA,212,17.7,114,9.5,2015-16
Blackstone-Millville,06220000,81,4.7,59,3.4,302,17.2,NA,NA,NA,NA,NA,NA,582,33.1,311,17.9,2015-16
Blue Hills Regional Vocational Technical,08060000,53,6,6,0.7,223,25.3,NA,NA,NA,NA,NA,NA,368,41.7,186,21.1,2015-16
Boston,00350000,25590,47.8,16228,30.3,10555,19.6,NA,NA,NA,NA,NA,NA,39019,72.4,26486,49.5,2015-16
Boston Collegiate Charter (District),04490000,70,10.2,23,3.4,128,18.7,NA,NA,NA,NA,NA,NA,288,42,164,23.9,2015-16
Boston Day and Evening Academy Charter (District),04240000,57,15,35,9.2,91,23.9,NA,NA,NA,NA,NA,NA,232,61.1,175,46.1,2015-16
Boston Green Academy Horace Mann Charter School (District),04110000,154,35.1,53,12.1,127,28.9,NA,NA,NA,NA,NA,NA,320,72.9,226,51.5,2015-16
Boston Preparatory Charter Public (District),04160000,78,18.8,40,9.6,77,18.6,NA,NA,NA,NA,NA,NA,243,58.6,168,40.5,2015-16
Boston Renaissance Charter Public (District),04810000,175,18.4,55,5.8,110,11.6,NA,NA,NA,NA,NA,NA,535,56.3,431,45.4,2015-16
Bourne,00360000,16,0.8,10,0.5,321,16.5,NA,NA,NA,NA,NA,NA,655,33.7,423,22,2015-16
Boxford,00380000,11,1.5,6,0.8,129,17.4,NA,NA,NA,NA,NA,NA,144,19.5,23,3.1,2015-16
Boylston,00390000,21,6.9,9,3,29,9.6,NA,NA,NA,NA,NA,NA,61,20.1,27,8.9,2015-16
Braintree,00400000,671,11.7,231,4,1193,20.5,NA,NA,NA,NA,NA,NA,2090,35.9,961,16.7,2015-16
Brewster,00410000,18,3.7,14,2.9,79,16,NA,NA,NA,NA,NA,NA,172,34.9,117,23.9,2015-16
Bridge Boston Charter School (District),04170000,104,46.8,82,36.9,38,17.1,NA,NA,NA,NA,NA,NA,170,76.6,122,55,2015-16
Bridgewater-Raynham,06250000,141,2.7,55,1,784,14.7,NA,NA,NA,NA,NA,NA,1418,26.5,735,13.9,2015-16
Brimfield,00430000,0,0,0,0,33,11.5,NA,NA,NA,NA,NA,NA,68,23.6,42,14.6,2015-16
Bristol County Agricultural,09100000,8,1.7,0,0,54,11.5,NA,NA,NA,NA,NA,NA,123,26.3,78,16.7,2015-16
Bristol-Plymouth Regional Vocational Technical,08100000,34,2.6,3,0.2,246,18.9,NA,NA,NA,NA,NA,NA,477,36.6,287,22,2015-16
Brockton,00440000,6317,36.9,3362,19.7,2194,12.8,NA,NA,NA,NA,NA,NA,10968,63.8,8033,47,2015-16
Brooke Charter School East Boston (District),04570000,353,70.6,60,12,38,7.6,NA,NA,NA,NA,NA,NA,317,63.4,219,43.8,2015-16
Brooke Charter School Mattapan (District),04430000,187,38.3,18,3.7,49,10,NA,NA,NA,NA,NA,NA,310,63.5,235,48.2,2015-16
Brooke Charter School Roslindale (District),04280000,86,16.9,13,2.5,35,6.9,NA,NA,NA,NA,NA,NA,232,45.5,200,39.2,2015-16
Brookfield,00450000,6,1.8,3,0.9,34,10.4,NA,NA,NA,NA,NA,NA,100,30.6,78,23.9,2015-16
Brookline,00460000,2333,30.4,757,9.9,1198,15.5,NA,NA,NA,NA,NA,NA,2490,32.3,631,8.2,2015-16
Burlington,00480000,551,15.7,104,3,496,13.8,NA,NA,NA,NA,NA,NA,887,24.8,334,9.5,2015-16
Cambridge,00490000,1850,28,536,8.1,1463,21.6,NA,NA,NA,NA,NA,NA,3161,46.7,1833,27.7,2015-16
Canton,00500000,146,4.4,60,1.8,448,13.3,NA,NA,NA,NA,NA,NA,810,24.1,384,11.6,2015-16
Cape Cod Lighthouse Charter (District),04320000,1,0.4,1,0.4,40,16.7,NA,NA,NA,NA,NA,NA,66,27.5,33,13.8,2015-16
Cape Cod Regional Vocational Technical,08150000,17,2.8,12,1.9,156,25.3,NA,NA,NA,NA,NA,NA,298,48.4,183,29.7,2015-16
Carlisle,00510000,36,5.9,12,2,92,15,NA,NA,NA,NA,NA,NA,122,19.8,11,1.8,2015-16
Carver,00520000,6,0.4,5,0.3,333,20.1,NA,NA,NA,NA,NA,NA,573,34.5,316,19.3,2015-16
Central Berkshire,06350000,12,0.7,9,0.6,219,13.5,NA,NA,NA,NA,NA,NA,561,34.5,400,24.6,2015-16
Chelmsford,00560000,490,9.8,149,3,828,16.3,NA,NA,NA,NA,NA,NA,1316,25.9,486,9.7,2015-16
Chelsea,00570000,5031,79.6,1680,26.6,838,13,NA,NA,NA,NA,NA,NA,4643,71.8,3129,49.5,2015-16
Chesterfield-Goshen,06320000,0,0,0,0,27,17.4,NA,NA,NA,NA,NA,NA,55,35.5,39,25.2,2015-16
Chicopee,00610000,994,12.9,368,4.8,1460,18.9,NA,NA,NA,NA,NA,NA,4504,58.2,3707,48.1,2015-16
Christa McAuliffe Charter Public (District),04180000,26,6.5,14,3.5,95,23.6,NA,NA,NA,NA,NA,NA,145,36.1,57,14.2,2015-16
City on a Hill Charter Public School Circuit Street (District),04370000,79,27.8,28,9.9,67,23.6,NA,NA,NA,NA,NA,NA,183,64.4,139,48.9,2015-16
City on a Hill Charter Public School Dudley Square (District),35040000,47,19.3,25,10.3,44,18.1,NA,NA,NA,NA,NA,NA,164,67.5,124,51,2015-16
City on a Hill Charter Public School New Bedford (District),35070000,15,10.7,10,7.1,46,32.9,NA,NA,NA,NA,NA,NA,99,70.7,79,56.4,2015-16
Clarksburg,00630000,0,0,0,0,36,21.8,NA,NA,NA,NA,NA,NA,72,43.6,48,29.4,2015-16
Clinton,00640000,394,21.1,122,6.5,390,20.5,NA,NA,NA,NA,NA,NA,920,48.4,621,33.3,2015-16
Codman Academy Charter Public (District),04380000,53,16.5,16,5,81,25.2,NA,NA,NA,NA,NA,NA,204,63.4,146,45.3,2015-16
Cohasset,00650000,5,0.3,2,0.1,180,10.9,NA,NA,NA,NA,NA,NA,242,14.6,68,4.2,2015-16
Community Charter School of Cambridge (District),04360000,95,23.2,17,4.2,82,20,NA,NA,NA,NA,NA,NA,209,51.1,135,33,2015-16
Community Day Charter Public School - Gateway (District),04260000,183,76.3,154,64.2,19,7.9,NA,NA,NA,NA,NA,NA,194,80.8,110,45.8,2015-16
Community Day Charter Public School - Prospect (District),04400000,287,71.8,145,36.3,34,8.5,NA,NA,NA,NA,NA,NA,269,67.3,196,49,2015-16
Community Day Charter Public School - R. Kingman Webster (District),04310000,125,52.1,101,42.1,13,5.4,NA,NA,NA,NA,NA,NA,170,70.8,121,50.4,2015-16
Concord,00670000,126,6,50,2.4,375,17.6,NA,NA,NA,NA,NA,NA,516,24.3,120,5.7,2015-16
Concord-Carlisle,06400000,56,4.3,10,0.8,246,18.5,NA,NA,NA,NA,NA,NA,303,22.7,64,5,2015-16
Conservatory Lab Charter (District),04390000,45,11.2,21,5.2,45,11.2,NA,NA,NA,NA,NA,NA,219,54.3,130,32.3,2015-16
Conway,00680000,1,0.6,0,0,22,14.3,NA,NA,NA,NA,NA,NA,44,28.6,27,17.5,2015-16
Danvers,00710000,96,2.7,43,1.2,573,15.7,NA,NA,NA,NA,NA,NA,1110,30.3,616,17.1,2015-16
Dartmouth,00720000,201,5.4,94,2.5,505,13.5,NA,NA,NA,NA,NA,NA,1119,30,669,18.1,2015-16
Dedham,00730000,350,12.7,147,5.4,539,19.3,NA,NA,NA,NA,NA,NA,1001,35.8,490,17.8,2015-16
Deerfield,00740000,11,2.7,6,1.5,80,19.4,NA,NA,NA,NA,NA,NA,124,30,61,14.8,2015-16
Dennis-Yarmouth,06450000,426,13.8,247,8,535,17.1,NA,NA,NA,NA,NA,NA,1584,50.7,1093,35.4,2015-16
Dighton-Rehoboth,06500000,27,0.9,2,0.1,389,13.2,NA,NA,NA,NA,NA,NA,703,23.9,392,13.5,2015-16
Dorchester Collegiate Academy Charter (District),04750000,83,40.9,59,29.1,56,27.6,NA,NA,NA,NA,NA,NA,162,79.8,113,55.7,2015-16
Douglas,00770000,2,0.1,0,0,264,17.8,NA,NA,NA,NA,NA,NA,424,28.6,217,14.8,2015-16
Dover,00780000,26,5.5,12,2.5,72,15,NA,NA,NA,NA,NA,NA,94,19.6,14,2.9,2015-16
Dover-Sherborn,06550000,36,3,6,0.5,195,16,NA,NA,NA,NA,NA,NA,237,19.5,45,3.8,2015-16
Dracut,00790000,134,3.7,36,1,569,15.6,NA,NA,NA,NA,NA,NA,1185,32.4,713,19.8,2015-16
Dudley Street Neighborhood Charter School (District),04070000,91,35.7,62,24.3,32,12.5,NA,NA,NA,NA,NA,NA,178,69.8,119,46.7,2015-16
Dudley-Charlton Reg,06580000,250,6.3,63,1.6,518,12.9,NA,NA,NA,NA,NA,NA,1158,28.8,713,17.9,2015-16
Duxbury,00820000,30,0.9,10,0.3,470,14.5,NA,NA,NA,NA,NA,NA,638,19.7,197,6.1,2015-16
East Bridgewater,00830000,26,1.1,13,0.6,410,17.6,NA,NA,NA,NA,NA,NA,639,27.5,306,13.3,2015-16
East Longmeadow,00870000,160,6,53,2,490,18.2,NA,NA,NA,NA,NA,NA,840,31.2,393,14.8,2015-16
Eastham,00850000,7,4,2,1.1,30,16.9,NA,NA,NA,NA,NA,NA,71,40.1,55,31.1,2015-16
Easthampton,00860000,83,5.4,15,1,285,18.4,NA,NA,NA,NA,NA,NA,591,38.1,384,25.2,2015-16
Easton,00880000,126,3.4,45,1.2,617,16.4,NA,NA,NA,NA,NA,NA,922,24.4,363,9.7,2015-16
Edgartown,00890000,74,21.4,42,12.2,79,22.9,NA,NA,NA,NA,NA,NA,167,48.4,89,25.8,2015-16
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,172,50.4,58,17,56,16.4,NA,NA,NA,NA,NA,NA,225,66,163,47.8,2015-16
Erving,00910000,0,0,0,0,29,21.6,NA,NA,NA,NA,NA,NA,60,44.8,39,29.3,2015-16
Essex North Shore Agricultural and Technical School District,08170000,62,5.1,4,0.3,278,22.8,NA,NA,NA,NA,NA,NA,474,38.9,254,20.8,2015-16
Everett,00930000,4173,58.6,1139,16,1089,15.1,NA,NA,NA,NA,NA,NA,4464,61.9,3000,42.1,2015-16
Excel Academy Charter (District),04100000,259,33,112,14.3,134,17.1,NA,NA,NA,NA,NA,NA,471,60,289,36.8,2015-16
Fairhaven,00940000,63,3.1,32,1.6,293,14.3,NA,NA,NA,NA,NA,NA,742,36.1,519,25.6,2015-16
Fall River,00950000,2059,20.3,962,9.5,1942,18.9,NA,NA,NA,NA,NA,NA,7150,69.7,5978,59.1,2015-16
Falmouth,00960000,223,6.3,82,2.3,669,18.8,NA,NA,NA,NA,NA,NA,1400,39.3,870,24.8,2015-16
Farmington River Reg,06620000,0,0,0,0,23,18.3,NA,NA,NA,NA,NA,NA,50,39.7,36,29.3,2015-16
Fitchburg,00970000,1627,31.3,538,10.4,1174,22.2,NA,NA,NA,NA,NA,NA,3566,67.3,2761,53.2,2015-16
Florida,00980000,0,0,0,0,27,31,NA,NA,NA,NA,NA,NA,46,52.9,26,29.9,2015-16
Four Rivers Charter Public (District),04130000,5,2.3,0,0,35,16.1,NA,NA,NA,NA,NA,NA,81,37.3,56,25.8,2015-16
Foxborough,00990000,34,1.3,23,0.9,464,17.4,NA,NA,NA,NA,NA,NA,711,26.6,334,12.6,2015-16
Foxborough Regional Charter (District),04460000,200,15.9,95,7.6,123,9.8,NA,NA,NA,NA,NA,NA,346,27.6,164,13.1,2015-16
Framingham,01000000,3484,41.1,1574,18.6,2071,23.8,NA,NA,NA,NA,NA,NA,4682,53.8,2363,27.9,2015-16
Francis W. Parker Charter Essential (District),04780000,4,1,0,0,64,16,NA,NA,NA,NA,NA,NA,73,18.3,12,3,2015-16
Franklin,01010000,271,4.9,70,1.3,865,15.5,NA,NA,NA,NA,NA,NA,1239,22.3,408,7.4,2015-16
Franklin County Regional Vocational Technical,08180000,1,0.2,0,0,148,29.2,NA,NA,NA,NA,NA,NA,266,52.5,167,32.9,2015-16
Freetown-Lakeville,06650000,35,1.2,28,1,378,13.1,NA,NA,NA,NA,NA,NA,707,24.6,379,13.4,2015-16
Frontier,06700000,15,2.4,4,0.7,129,20.7,NA,NA,NA,NA,NA,NA,187,30,84,13.7,2015-16
Gardner,01030000,179,7.4,112,4.6,536,21.9,NA,NA,NA,NA,NA,NA,1371,56,1072,44.3,2015-16
Gateway,06720000,25,2.9,11,1.3,166,18.8,NA,NA,NA,NA,NA,NA,357,40.5,237,27.1,2015-16
Georgetown,01050000,8,0.5,3,0.2,196,13.3,NA,NA,NA,NA,NA,NA,295,19.9,125,8.5,2015-16
Gill-Montague,06740000,86,9.1,62,6.5,185,19.4,NA,NA,NA,NA,NA,NA,484,50.6,359,37.9,2015-16
Global Learning Charter Public (District),04960000,60,11.8,40,7.9,71,14,NA,NA,NA,NA,NA,NA,261,51.4,216,42.5,2015-16
Gloucester,01070000,236,8.1,115,3.9,717,24.2,NA,NA,NA,NA,NA,NA,1495,50.5,989,33.9,2015-16
Gosnold,01090000,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,2015-16
Grafton,01100000,91,2.8,19,0.6,517,16,NA,NA,NA,NA,NA,NA,781,24.2,360,11.2,2015-16
Granby,01110000,44,5.4,22,2.7,128,15.4,NA,NA,NA,NA,NA,NA,272,32.8,161,19.7,2015-16
Greater Fall River Regional Vocational Technical,08210000,28,2,14,1,141,10,NA,NA,NA,NA,NA,NA,535,38,447,31.7,2015-16
Greater Lawrence Regional Vocational Technical,08230000,464,33,135,9.6,282,20.1,NA,NA,NA,NA,NA,NA,892,63.4,672,47.8,2015-16
Greater Lowell Regional Vocational Technical,08280000,482,22.8,99,4.7,457,21.6,NA,NA,NA,NA,NA,NA,1237,58.5,812,38.4,2015-16
Greater New Bedford Regional Vocational Technical,08250000,492,22.7,59,2.7,138,6.4,NA,NA,NA,NA,NA,NA,840,38.7,721,33.2,2015-16
Greenfield,01140000,119,7.3,63,3.8,275,16.5,NA,NA,NA,NA,NA,NA,903,54,748,45.6,2015-16
